Nama Mesin;Tanggal-Jam;Durasi
CV31;23/12/2017 00.29.49;00:00:00
Tombol31;22/12/2017 20.50.17;00:00:01
Tombol33;23/12/2017 07.30.12;00:00:01
Tombol11;23/12/2017 07.30.12;00:00:01
CV31;23/12/2017 08.26.28;00:00:01
Poly-32;23/12/2017 08.26.28;00:00:01
Tombol9;22/12/2017 21.52.44;00:00:02
Tombol10;23/12/2017 00.18.07;00:00:02
Tombol11;23/12/2017 07.30.23;00:00:03
Tombol12;23/12/2017 08.26.28;00:00:03
CV31;23/12/2017 11.32.50;00:00:03
Tombol31;22/12/2017 20.38.59;00:00:04
Tombol31;22/12/2017 20.51.07;00:00:04
CV31;22/12/2017 21.52.44;00:00:04
Tombol9;23/12/2017 07.30.12;00:00:04
Tombol8;23/12/2017 07.30.12;00:00:04
Tombol8;23/12/2017 07.30.23;00:00:04
Tombol33;23/12/2017 08.26.28;00:00:04
Tombol31;22/12/2017 20.48.52;00:00:05
CV31;23/12/2017 07.30.12;00:00:05
CV31;23/12/2017 07.30.23;00:00:05
Tombol9;23/12/2017 07.30.23;00:00:05
Tombol10;23/12/2017 00.18.10;00:00:06
Tombol32;23/12/2017 07.30.12;00:00:06
Tombol12;23/12/2017 07.30.23;00:00:06
Tombol32;23/12/2017 07.30.23;00:00:06
Tombol33;23/12/2017 07.30.23;00:00:07
Tombol12;23/12/2017 07.30.12;00:00:08
C-32;23/12/2017 11.32.01;00:00:08
CV31;23/12/2017 07.29.52;00:00:09
CV31;23/12/2017 11.32.01;00:00:09
Tombol12;23/12/2017 11.32.01;00:00:09
Tombol32;23/12/2017 07.29.52;00:00:10
Tombol33;23/12/2017 11.32.01;00:00:10
Tombol8;23/12/2017 11.36.31;00:00:10
Tombol12;23/12/2017 07.29.52;00:00:11
Tombol11;23/12/2017 11.32.01;00:00:11
Tombol9;23/12/2017 11.32.01;00:00:11
Tombol34;23/12/2017 00.18.10;00:00:12
Tombol33;23/12/2017 07.29.52;00:00:12
Tombol11;23/12/2017 07.29.52;00:00:12
Poly-7;23/12/2017 11.32.01;00:00:12
Tombol34;23/12/2017 11.32.01;00:00:12
Tombol11;23/12/2017 00.18.10;00:00:13
poly-10;23/12/2017 11.32.01;00:00:13
Tombol33;23/12/2017 11.36.31;00:00:13
Tombol12;23/12/2017 00.18.10;00:00:14
Tombol33;23/12/2017 00.18.10;00:00:14
Tombol8;23/12/2017 00.18.10;00:00:14
Tombol7;23/12/2017 00.18.10;00:00:14
Tombol9;23/12/2017 07.29.52;00:00:14
Poly-32;23/12/2017 08.31.36;00:00:14
Tombol8;23/12/2017 11.32.01;00:00:14
C-32;23/12/2017 11.36.31;00:00:14
Tombol9;23/12/2017 11.36.31;00:00:14
Tombol32;23/12/2017 00.18.10;00:00:15
Tombol8;23/12/2017 07.29.52;00:00:15
CV31;23/12/2017 11.36.31;00:00:15
Tombol9;23/12/2017 00.18.10;00:00:16
CV31;23/12/2017 00.18.10;00:00:19
Poly-32;23/12/2017 08.24.30;00:00:30
Tombol32;22/12/2017 20.48.52;00:00:57
Tombol9;22/12/2017 20.48.52;00:01:02
Tombol11;22/12/2017 21.52.44;00:01:07
Tombol33;22/12/2017 21.52.44;00:01:10
Tombol8;22/12/2017 21.52.44;00:01:11
Tombol10;22/12/2017 21.52.44;00:01:12
Tombol34;22/12/2017 21.52.44;00:01:12
Tombol7;22/12/2017 21.52.44;00:01:14
Tombol1;22/12/2017 08.31.17;00:15:40
